# Canonical label set for codehaus-plexus repositories
# name<TAB>color<TAB>description
#
# Colour rule: a hue carries meaning, and any two labels that appear side by
# side must differ in BOTH hue and text colour (GitHub picks white or black by
# brightness). Same-hue ramps of three are unreadable at label-pill size, so
# each hue gets at most two steps: one dark/white-text, one light/black-text.
breaking	B60205	Backwards-incompatible change
removed	D93F0B	Removed API, feature or module
deprecated	E99695	Deprecated API or feature
bug	D73A4A	Something isn't working
enhancement	0E8A16	New feature or improvement
documentation	0075CA	Documentation and site content
maintenance	FBCA04	Cleanup, refactoring, internal change
build	795548	Build, CI and release infrastructure
dependencies	0366D6	Dependency update (applied by Dependabot)
java	FFA221	Maven/Java dependency update (applied by Dependabot)
github_actions	79B8FF	GitHub Actions update (applied by Dependabot)
help wanted	008672	Extra attention is needed
good first issue	7057FF	Good for newcomers
question	D876E3	Further information is requested
need-rebase	D4C5F9	Branch has conflicts and needs a rebase before it can merge
no-changelog	CFD3D7	Deliberately excluded from the release notes
reverted	24292F	Change was reverted; excluded from the release notes
